ID,Region,Year,Gini Index
164,Solonópole - CE,1991,0.5238
165,Tabuleiro do Norte - CE,1991,0.5726
166,Tamboril - CE,1991,0.4738
167,Tarrafas - CE,1991,0.4309
168,Tauá - CE,1991,0.6017
169,Tejuçuoca - CE,1991,0.4426
170,Tianguá - CE,1991,0.585
171,Trairi - CE,1991,0.4883
172,Tururu - CE,1991,0.43
173,Ubajara - CE,1991,0.5433
174,Umari - CE,1991,0.4819
175,Umirim - CE,1991,0.4432
176,Uruburetama - CE,1991,0.5263
177,Uruoca - CE,1991,0.4306
178,Varjota - CE,1991,0.5265
179,Várzea Alegre - CE,1991,0.6123
180,Viçosa do Ceará - CE,1991,0.4926
181,Brasil,1991,0.6366
182,Brasil,1991,0.6366
183,Bahia,1991,0.6533
184,Abaíra - BA,1991,0.4564
185,Abaré - BA,1991,0.4619
186,Acajutiba - BA,1991,0.5284
187,Adustina - BA,1991,0.4234
188,Água Fria - BA,1991,0.4669
189,Aiquara - BA,1991,0.5024
190,Alagoinhas - BA,1991,0.6256
191,Alcobaça - BA,1991,0.5966
192,Almadina - BA,1991,0.4011
193,Amargosa - BA,1991,0.5899
194,Amélia Rodrigues - BA,1991,0.5223
195,América Dourada - BA,1991,0.4919
196,Anagé - BA,1991,0.3619
197,Andaraí - BA,1991,0.538
198,Andorinha - BA,1991,0.4602
199,Angical - BA,1991,0.5134
200,Anguera - BA,1991,0.5522
201,Antas - BA,1991,0.5037
202,Antônio Cardoso - BA,1991,0.3969
203,Antônio Gonçalves - BA,1991,0.4166
204,Aporá - BA,1991,0.4755
205,Apuarema - BA,1991,0.4178
206,Araças - BA,1991,0.4395
207,Aracatu - BA,1991,0.3819
208,Araci - BA,1991,0.4543
209,Aramari - BA,1991,0.5511
210,Arataca - BA,1991,0.5358
211,Aratuípe - BA,1991,0.5191
212,Aurelino Leal - BA,1991,0.5252
213,Baianópolis - BA,1991,0.5565
214,Baixa Grande - BA,1991,0.4025
215,Banzaê - BA,1991,0.3671
216,Barra - BA,1991,0.5601
217,Barra da Estiva - BA,1991,0.5321
218,Barra do Choça - BA,1991,0.4568
219,Barra do Mendes - BA,1991,0.5101
220,Barra do Rocha - BA,1991,0.4602
221,Barreiras - BA,1991,0.621
222,Barro Alto - BA,1991,0.4326
223,Barro Preto - BA,1991,0.3642
224,Belmonte - BA,1991,0.5477
225,Belo Campo - BA,1991,0.5196
226,Biritinga - BA,1991,0.5179
227,Boa Nova - BA,1991,0.5522
228,Boa Vista do Tupim - BA,1991,0.4787
229,Bom Jesus da Lapa - BA,1991,0.569
230,Bom Jesus da Serra - BA,1991,0.3641
231,Boninal - BA,1991,0.4967
232,Bonito - BA,1991,0.472
233,Boquira - BA,1991,0.6422
234,Botuporã - BA,1991,0.4386
235,Brejões - BA,1991,0.4959
236,Brejolândia - BA,1991,0.4009
237,Brotas de Macaúbas - BA,1991,0.5175
238,Brumado - BA,1991,0.6327
239,Buerarema - BA,1991,0.5028
240,Buritirama - BA,1991,0.4475
241,Caatiba - BA,1991,0.4403
242,Cabaceiras do Paraguaçu - BA,1991,0.3824
243,Cachoeira - BA,1991,0.6033
244,Caculé - BA,1991,0.6465
245,Caém - BA,1991,0.4141
246,Caetanos - BA,1991,0.3454
247,Caetité - BA,1991,0.6096
248,Cafarnaum - BA,1991,0.5291
249,Cairu - BA,1991,0.3721
250,Caldeirão Grande - BA,1991,0.4299
251,Camacan - BA,1991,0.5869
252,Camaçari - BA,1991,0.5106
253,Camamu - BA,1991,0.4809
254,Campo Alegre de Lourdes - BA,1991,0.503
255,Campo Formoso - BA,1991,0.5316
256,Canápolis - BA,1991,0.3158
257,Canarana - BA,1991,0.502
258,Canavieiras - BA,1991,0.5647
259,Candeal - BA,1991,0.477
260,Candeias - BA,1991,0.5721
261,Candiba - BA,1991,0.5707
262,Cândido Sales - BA,1991,0.5164
263,Cansanção - BA,1991,0.4982
264,Canudos - BA,1991,0.462
265,Capela do Alto Alegre - BA,1991,0.3696
266,Capim Grosso - BA,1991,0.4572
267,Caraíbas - BA,1991,0.6627
268,Caravelas - BA,1991,0.5171
269,Cardeal da Silva - BA,1991,0.4602
270,Carinhanha - BA,1991,0.514
271,Casa Nova - BA,1991,0.5075
272,Castro Alves - BA,1991,0.6012
273,Catolândia - BA,1991,0.4835
274,Catu - BA,1991,0.5868
275,Caturama - BA,1991,0.6751
276,Central - BA,1991,0.4851
277,Chorrochó - BA,1991,0.4575
278,Cícero Dantas - BA,1991,0.528
279,Cipó - BA,1991,0.5331
280,Coaraci - BA,1991,0.6293
281,Cocos - BA,1991,0.4853
282,Conceição da Feira - BA,1991,0.6063
283,Conceição do Almeida - BA,1991,0.5526
284,Conceição do Coité - BA,1991,0.5235
285,Conceição do Jacuípe - BA,1991,0.5898
286,Conde - BA,1991,0.4845
287,Condeúba - BA,1991,0.5689
288,Contendas do Sincorá - BA,1991,0.5631
289,Coração de Maria - BA,1991,0.4888
290,Cordeiros - BA,1991,0.4225
291,Coribe - BA,1991,0.5339
292,Coronel João Sá - BA,1991,0.4173
293,Correntina - BA,1991,0.5073
294,Cotegipe - BA,1991,0.6158
295,Cravolândia - BA,1991,0.522
296,Crisópolis - BA,1991,0.4334
297,Cristópolis - BA,1991,0.5291
298,Cruz das Almas - BA,1991,0.6143
299,Curaçá - BA,1991,0.5061
300,Dário Meira - BA,1991,0.4488
301,Dias d'Ávila - BA,1991,0.5842
302,Dom Basílio - BA,1991,0.5344
303,Dom Macedo Costa - BA,1991,0.4284
304,Elísio Medrado - BA,1991,0.5085
305,Encruzilhada - BA,1991,0.4382
306,Entre Rios - BA,1991,0.5526
307,Érico Cardoso - BA,1991,0.4645
308,Esplanada - BA,1991,0.5963
309,Euclides da Cunha - BA,1991,0.4759
310,Eunápolis - BA,1991,0.688
311,Fátima - BA,1991,0.5291
312,Feira da Mata - BA,1991,0.5608
313,Feira de Santana - BA,1991,0.6214
314,Filadélfia - BA,1991,0.4043
315,Firmino Alves - BA,1991,0.5775
316,Floresta Azul - BA,1991,0.4867
317,Formosa do Rio Preto - BA,1991,0.6444
318,Gandu - BA,1991,0.646
